1965,948
1966,2548
1967,2438
1968,478
1969,550
1970,3486
1971,4639
1972,3968
1973,5313
1974,6298
1975,6186
1976,12711
1977,5602
1978,5698
1979,5111
1980,5543
1981,5558
1982,4985
1983,5019
1984,4879
1985,4909
1986,5983
1987,4491
1988,4068
1989,5254
1990,4529
1991,4679
1992,4125
1993,4797
1994,4656
1995,4611
1996,8683
1997,10252
1998,9989
1999,9092
2000,11923
2001,19102
2002,19508
2003,20692
2004,20010
2005,18659
2006,21517
2007,25185
2008,37352
2009,35709
2010,46190
2011,42177
2012,39541
2013,52563
2014,61073
2015,40930
2016,69794
2017,90443
2018,14034
